Address,Price €,Rooms,Size m2,Floor,Lift,Links,Price/M2
"Piso en Gran Via de les Corts Catalanes, El Clot, Barcelona",290000,3,88,Planta 6 interior,Con ascensor,https://www.idealista.com/inmueble/100623222/,3295.45
"Piso en calle de Biscaia, El Clot, Barcelona",379800,4,94,Planta 2 exterior,Con ascensor,https://www.idealista.com/inmueble/97301401/,4040.43
"Piso en El Clot, Barcelona",365000,3,90,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/100325421/,4055.56
"Piso en calle d'Aragó, El Clot, Barcelona",375000,3,75,exterior,Con ascensor,https://www.idealista.com/inmueble/100357573/,5000.0
"Piso en El Clot, Barcelona",439350,3,90,Planta 2 exterior,Con ascensor,https://www.idealista.com/inmueble/97601468/,4881.67
"Piso en Passatge de Vintró, El Clot, Barcelona",180000,1,43,Bajo interior,Sin ascensor,https://www.idealista.com/inmueble/100609718/,4186.05
"Piso en Gran Via de les Corts Catalanes, El Clot, Barcelona",349000,4,119,Entreplanta exterior,Con ascensor,https://www.idealista.com/inmueble/100868887/,2932.77
"Piso en El Clot, Barcelona",450000,4,106,Planta 6 interior,Con ascensor,https://www.idealista.com/inmueble/100878817/,4245.28
"Piso en El Clot, Barcelona",398000,4,91,Planta 6 exterior,Con ascensor,https://www.idealista.com/inmueble/100870956/,4373.63
"Piso en avenida Meridiana, El Clot, Barcelona",240000,4,86,Planta 4 exterior,Con ascensor,https://www.idealista.com/inmueble/100872542/,2790.7
"Piso en calle de Biscaia, El Clot, Barcelona",379800,4,92,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/98297829/,4128.26
"Piso en calle d'Aragó, El Clot, Barcelona",375000,3,85,Planta 2 exterior,Con ascensor,https://www.idealista.com/inmueble/100357524/,4411.76
"Piso en El Clot, Barcelona",398000,4,91,Planta 6 exterior,Con ascensor,https://www.idealista.com/inmueble/100844107/,4373.63
"Piso en Gran Via de les Corts Catalanes, El Clot, Barcelona",255000,3,73,Planta 9 exterior,Con ascensor,https://www.idealista.com/inmueble/100786224/,3493.15
"Piso en calle d'Andrade, El Clot, Barcelona",365000,3,90,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/100861111/,4055.56
"Piso en calle d'Espronceda, El Clot, Barcelona",450000,4,106,Planta 6 interior,Con ascensor,https://www.idealista.com/inmueble/100860995/,4245.28
"Piso en Gran Via de les Corts Catalanes, El Clot, Barcelona",349000,4,119,Entreplanta exterior,Con ascensor,https://www.idealista.com/inmueble/100800863/,2932.77
"Piso en calle de Valencia, El Clot, Barcelona",205000,2,68,Planta 2 exterior,Sin ascensor,https://www.idealista.com/inmueble/99638652/,3014.71
"Piso en calle de Lope de Vega, El Clot, Barcelona",398000,4,91,Planta 6 interior,Con ascensor,https://www.idealista.com/inmueble/100861068/,4373.63
"Piso en El Clot, Barcelona",365000,3,90,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/100347354/,4055.56
"Piso en Gran Via de les Corts Catalanes, El Clot, Barcelona",349000,4,119,Entreplanta,Con ascensor,https://www.idealista.com/inmueble/100805739/,2932.77
"Piso en El Clot, Barcelona",222000,1,70,Bajo exterior,Con ascensor,https://www.idealista.com/inmueble/92509544/,3171.43
